
RUTA 1:
-7700.3184	,11005.8634,	-23327.2494;
-6767.7275	,10870.5969,	-23257.6738;
-6640.2728	,10877.1018,	-23241.6384;
-6439.132	,10887.4251,	-23140.5042;
-6380.306	,10884.7185,	-23059.8651;
-6277.7801	,10868.2536,	-22836.4059;
-6243.7764	,10875.6196,	-22772.2629;
-6205.37	,10866.663,	    -22666.1496;
-6188.3822	,10865.5739,	-22513.4328;
-6192.9883	,10864.7271,	-22461.8476;
-6208.3216	,10865.5546,	-22392.5959;
-6267.2306	,10873.2432,	-22293.6795;
-6327.1677	,10853.3323,	-22203.9033;
-6413.2314	,10851.9731,	-22125.6611;
-6824.8452	,10840.9176,	-22073.3316;
-7090.2152	,10824.1218,	-22084.4356;
-7537.4028	,10735.0841,	-22140.1906;
-7937.8022	,10655.2263,	-22223.9410; 
-8250.9043	,10634.4362,	-22265.0230; 
-8340.0368	,10652.0845,	-22273.5526;
-8692.9030 	,10588.1506,	-22222.8016;
-9049.1173	,10560.2296,	-22113.0611;
-9390.8281	,10498.5232,	-22096.8257;
-9739.1436	,10447.3230, 	-22159.3469;
-10121.4275	,10389.8273,	-22204.5566;
-10842.2953	,10321.7398,	-22372.5398;
-10888.9347	,10317.1563,	-22397.1629;
-10996.3220 ,10315.0194,	-22519.6384;

RUTA 5:

-10996.322	,10315.0194,	-22519.6384;
-10858.4886	,10300.5502,	-23324.1282;
-10842.9637	,10306.5867,	-23432.5994;
-10832.7	,10310.5776,	-23504.3115;
-10819.1274	,10314.7317,	-23595.7952;
-10801.7277 ,10317.5082,	-23696.9221;
-10792.6394	,10318.1762,	-23743.3246;
-10777.4387	,10321.1926,	-23851.7922;
-10678.9855	,10323.9990, 	-24356.2080; 
-10580.5324	,10326.8054,	-24860.6238;
-10577.7102	,10331.7846,	-25042.4982;
-10544.9809	,10333.2669,	-25346.3659;
-11087.7109	,10298.7769,	-22028.6827;
-11239.0023	,10307.3562,	-21174.0497;
-11617.4299	,10269.76,	    -18594.1182;
-11794.4215	,10268.887,	    -17510.8765;
-11980.3620 ,10240.8867,	-16386.9458;
-12267.4769	,10237.0014,	-14582.8454;
-12533.3841	,10221.8755,	-12894.8712;
-12669.6257	,10214.9243,	-12080.7194;
-12832.9472	,10203.1595,	-11029.4332;
-13072.7672	,10197.5145,	-9855.4343;
-13110.3184	,10189.9698,	-9348.2403;

RUTA 6:
-10832.7	,10310.5776,-23504.3115;
-10832.7000 ,10315.3196,-23504.3115;
-10732.8239	,10325.3954,-23451.0233;
-10552.4717	,10325.926,	-23423.1888;
-10281.873	,10305.9341,-23383.4360; 
-10097.4408	,10261.0064,-23358.9338;
-9780.1612	,10222.2374,-23346.4468;
-9333.0938	,10143.9873,-23348.2444;
-8677.391	,10124.0484,-23321.1556;
-8588.4469	,10036.7268,-23324.0892;
-8292.8969	,10006.2027,-23342.6931;
-7409.018	,9850.7862,	-23087.2761;
-6775.6324	,9753.5039,	-22891.3842;
-6518.3297	,9711.3871,	-22673.0678;
-6351.0081	,9671.5140 ,-22466.4198;
-6353.1049	,9660.2245,	-22398.8054;
-6362.5233	,9648.6954,	-22332.5093;
-6382.2535	,9639.6418,	-22233.7461;
-6439.9230 	,9623.1468,	-22117.8666;
-6645.6621	,9593.0501,	-21966.4049;
-6846.0245	,9560.8506,	-21937.3445;
-7150.5677	,9525.1870 ,-22004.3296;
-7428.9524	,9466.5390 ,-22122.2870; 
-7767.8336	,9449.3243,	-22246.5956;
-7951.6382	,9412.7773,	-22308.0416;
-8371.9739	,9335.3020 ,-22421.6543;
-9121.0133	,9239.1572,	-22604.1262;
-9695.5210 	,9152.0624,	-22689.0358;
-10286.9447	,9072.8205,	-22772.4446;
-10911.2644	,9003.1761,	-22871.0745;
-1140.5295	,8931.9787,	-22944.7563;
-11723.0356	,8892.4015,	-22958.3794;
-11982.4282	,8860.5553,	-22974.5830; 
-12480.1050 ,8797.8570 ,-23046.6808;
-12976.8753	,8730.1954,	-23095.9084;
-13638.7779	,8643.9825,	-23180.4777;
-14320.0646	,8547.2584,	-23165.3609;
-14930.0807	,8470.6412,	-23102.5352;
-15776.9191	,8360.5364,	-22954.1553;
-16320.5869	,8290.4790 ,-22861.6131;
-16822.1744	,8237.0865,	-22832.9829;
-17758.0284	,8101.1009,	-22783.9711;
-18076.9356	,8035.2217,	-22748.0772;
-18323.8629	,8026.7843,	-22714.6630; 
-18585.4530 ,8000.1347,	-22604.1835;
-18844.9136	,7949.8348,	-22356.1565;
-18992.2429	,7915.5028,	-22030.4142;
-19070.8665	,7870.5579,	-21841.1318;
-19346.0507	,7878.8045,	-21277.8229;
-19672.6753	,7821.1955,	-20655.2825;
-19916.0209	,7742.0898,	-20166.9432;
-20009.5908	,7723.3335,	-19820.3578;
-20023.5068	,7682.2910 ,-19566.4659;
-20003.8462	,7663.7997,	-19441.2754;
-19975.4598	,7640.1081,	-19363.6942;
-19924.4648	,7649.6886,	-19234.0351;
-19824.1920 ,7596.6998,	-19046.9459;
-19495.1949	,7509.1977,	-18598.3258;
-19090.5287	,7438.4507,	-17970.9338;
-18576.8501	,7299.0083,	-17189.3632;
-18066.9303	,7176.7259,	-16406.4624;
-17520.1729	,7060.3626,	-15624.0426;
-17308.1195	,6997.3347,	-15319.7428;
-17125.2681	,6931.2733,	-15058.5280; 
-16849.5941	,6920.4453,	-14621.4776;
-16579.0826	,6866.4786,	-14208.0202;
-16274.8274	,6982.2055,	-13867.9462;
-16037.1680 ,6749.4999,	-13725.3575;
-15340.8168	,6675.0516,	-13496.8955;
-14782.3166	,6601.3639,	-13533.1453;
-13726.6323	,6443.3571,	-13527.5259;
-12665.3786	,6291.6354,	-13534.4261;
-11694.5988	,6174.3296,	-13509.5995;
-11111.0020 ,6100.6089,	-13446.0909;
-10405.0685	,6008.4654,	-13437.1396;
-9888.1179	,5941.6707,	-13440.5483;
-9615.2901	,5898.3620 ,-13368.8352;
-9399.5452	,5858.7869,	-13132.9309;
-9239.1339	,5815.4146,	-12805.0529;
-9255.4530 	,5788.3244,	-12650.3806;
-9351.0750 	,5735.8257,	-12246.0413;
-9499.7131	,5707.2505,	-12090.4902;
-9737.9940 	,5680.4091,	-11935.7325;
-10206.9115	,5647.2615,	-11818.6745;
-10859.2939	,5646.5875,	-11982.3790; 
-11127.4173	,5652.0464,	-12101.4070; 
-11280.8664	,5650.9067,	-12186.2837;
-11976.4073	,5663.7999,	-12447.5032;
-12335.6598	,5656.5991,	-12491.5248;
-12599.4805	,5643.9935,	-12465.2836;
-12621.2306	,5617.4405,	-12237.7889;
-12713.7880 ,5597.0536,	-11995.5140; 
-12755.9216	,5575.7151,	-11939.4281;
-12917.9324	,5562.3568,	-11799.3299;
-13483.2030 ,5510.1611,	-11679.8230; 
-14191.6475	,5419.1492,	-11657.2605;
-15118.1229	,5316.1729,	-11628.3132;
-16218.6816	,5165.5965,	-11622.2169;
-17637.9279	,5021.8895,	-11596.6316;
-18052.3222	,4964.2504,	-11909.2368;
-18168.5219	,4922.3564,	-12185.0749;
-18103.9323	,4873.6637,	-12622.3842;
-17588.8780 ,4806.8567,	-13150.0167;
-16314.7507	,4653.6071,	-13966.4975;
-15738.9032	,4567.6859,	-14255.6539;
-15615.9438	,4555.2527,	-14255.3074;
-15538.2976	,4547.9120 ,-14246.0891;
-15323.7406	,4505.0027,	-14117.7926;
-15244.6496	,4488.6018,	-14018.0664;
-15165.5586	,4472.2008,	-13918.3401;
-15083.2995	,4450.4813,	-13739.6623;
-15048.6501	,4421.9091,	-13466.0214;
-15136.6710 ,4389.7689,	-13185.8170; 
-15368.0604	,4343.4054,	-12927.2951;

RUTA 7:
-15368.0604	,4343.4054	-12927.2951;
-15703.4858	,4286.2469,	-12650.3916;
-16453.6978	,4168.3226,	-12106.4299;
-16798.7654	,4125.7842,	-11894.6405;
-17426.5014	,4018.5306,	-11464.0726;
-18141.2888	,3918.3037,	-10955.5540; 
-18864.0633	,3809.0697,	-10454.0786;
-18966.3616	,3780.1833,	-10370.7120; 
-19099.4228	,3768.0848,	-10301.5563;
-19190.4585	,3761.2701,	-10297.4637;
-19805.4062	,3758.5757,	-10320.7546;
-20258.9976	,3721.4983,	-6478.9153;
-20309.3741	,3690.4320, -5744.4673;
-20321.4720 ,3687.7064,	-5494.7679;
-20338.4192	,3689.9015,	-4939.4986;
-20357.1215	,3692.3238,	-4326.7227;
-20390.3918	,3692.8020, -3716.5432;
-20400.7245	,3710.8082,	-3503.1481;
-20634.1060 ,3659.4179,	-2418.6330;


RUTA 8:
-13938.1062	,2770.1797,	-3297.8089;
-13655.9402	,2747.1201,	-3258.8038;
-13384.291	,2713.7629,	-3230.09;
-13118.6523	,2681.7294,	-2988.9461;
-13077.7976	,2681.6397,	-2913.1948;
-13442.1547	,2642.4197,	-2155.5046;
-13679.0326	,2636.0043,	-2026.4001;
-13814.7857	,2606.1968,	-1966.5245;
-14167.2684	,2566.2288,	-1794.4238;
-14695.5667	,2474.0495,	-1627.6067;
-15356.2583	,2387.3462,	-1461.5981;
-15903.5718	,2343.2216,	-1226.9403;
-16357.9056	,2310.1607,	-1056.3245;
-16853.2560 ,2231.8587,	-890.2833;
-17443.3483	,2169.1200 ,-910.2673;
-17622.7933	,2129.7391,	-931.9323;
-18063.6938	,2093.7198,	-961.1490 ;
-18332.3211	,2041.3138,	-971.6080 ;
-18911.9641	,1985.5283,	-1002.0815;
-19060.5324	,1949.9338,	-1003.9672;
-19576.1077	,1874.9954,	-1045.9599;
-20267.0858	,1772.7813,	-1061.2207;
-20755.6006	,1707.7328,	-1088.5191;
-21335.1708	,1616.1246,	-1104.4080; 
-22032.6316	,1539.2821,	-1020.5452;
-23003.4331	,1386.1053,	-817.6623;
-23942.1844	,1277.9151,	-661.1214;
-25770.5649	,1024.7197,	-273.7601;
-27486.6928	,881.2905	,72.9186;
-28166.4591	,791.1956	,171.0727;
-28849.8884	,664.5790 ,	317.0273;
-30285.6136	,489.5239	,618.4798;
-31316.8081	,360.1084	,827.9718;
-31986.3203	,223.2946	,979.5486;
-33043.5608	,127.2876	,1189.4519;
-33365.1000 ,87.2522	,1265.7498;
-33741.4015	,61.4234	,1350.9923;
-34707.3498	,-86.7436	,1290.3237;
-35189.2236	,-125.6967,	1260.4568;
-35615.5092	,-179.7111,	1244.2462;
-63003.9469	,-199.6264,	1190.8324;
-36327.4416	,-278.1782,	1165.6475;
-36441.7173	,-336.3461,	1244.9250 ;
-36500.3705	,-382.4458,	1267.8299;
-36845.1157	,-411.0295,	1587.1683;
-37013.1612	,-420.4360 ,1854.0128;
-37029.4948	,-429.1024,	2216.6108;
-36905.5122	,-434.1157,	2511.6536;
-36710.8927	,-419.9205,	2725.3043;
-36582.5647	,-441.1255,	2808.0688;
-36498.0012	,-430.0128,	2853.4062;
-36324.4773	,-470.2821,	2930.0505;
-36176.3022	,-471.8496,	2968.1452;
-35834.9456	,-523.5052,	2991.7498;
-35389.4620 ,-573.8912,	3001.4218;
-34610.3955	,-677.6389,	3045.8478;
